x,y
699.595142  ,495.668016  
704.347932  ,497.695864  
1408.359784 ,805.043491  
719.834076  ,505.441176  
1242.691103 ,483.034845  
727.183615  ,508.263391  
1415.482579 ,806.531777  
735.550178  ,510.776602  
1420.522355 ,808.075350  
742.835416  ,514.599244  
450.154279  ,787.314375  
1424.343374 ,808.285521  
1428.383104 ,808.562321  
1431.633284 ,808.688734  
1429.633284 ,806.688734  
1432.563635 ,807.551524  
1434.345845 ,808.606537  
1438.408906 ,808.074466  
1440.450872 ,808.055254  
1441.135596 ,808.922839  
1442.035835 ,809.560876  
1444.176694 ,810.213252  
1445.435131 ,810.811574  
1448.006440 ,811.018081  
798.296238  ,522.022998  
394.381775  ,793.251325  
1451.130112 ,811.154726  
1451.110942 ,812.218766  
1453.673880 ,813.766534  
1453.530229 ,812.763067  
1454.773693 ,813.671564  
1458.010721 ,813.039160  
1461.086889 ,812.982383  
1468.923217 ,813.178045  
1468.032141 ,812.695989  
1471.694182 ,812.537515  
1474.591475 ,813.079978  
1476.958453 ,812.543526  
1484.286875 ,811.841276  
1484.311167 ,813.080143  
1485.245098 ,812.254902  
1486.715489 ,812.265423  
1489.531250 ,812.032533  
1493.234501 ,813.098312  
1491.234501 ,811.098312  
1494.476013 ,812.577365  
1495.796583 ,812.979219  
1493.796583 ,810.979219  
1501.343265 ,812.331496  
1500.532409 ,812.599675  
1504.651163 ,811.220930  
880.568876  ,526.321632  
1508.362725 ,808.125594  
1512.507982 ,808.145617  
1512.091819 ,808.162234  
1515.517555 ,807.472677  
1517.759979 ,805.169647  
897.173234  ,521.107227  
1519.947628 ,806.198397  
1520.370617 ,805.230955  
1521.394897 ,805.801759  
1521.831453 ,805.771191  
1523.242826 ,805.330105  
1525.311868 ,806.385590  
1523.311868 ,804.385590  
1524.980436 ,806.953755  
1522.980436 ,804.953755  
1523.861222 ,803.227148  
1528.651113 ,802.565008  
1529.460372 ,803.445576  
1529.035347 ,803.295606  
1528.304239 ,801.344583  
1527.219283 ,800.717125  
1526.719252 ,799.397892  
1527.761368 ,799.007980  
1526.205812 ,798.545940  
1526.395615 ,797.342042  
1526.599589 ,796.568451  
1525.816705 ,796.251954  
1527.560831 ,796.975366  
1525.560831 ,794.975366  
1525.664160 ,797.219335  
1525.115757 ,797.020019  
1523.047297 ,796.348676  
1523.167645 ,795.371390  
1522.096337 ,796.034578  
1522.131614 ,795.417056  
1521.851879 ,793.525559  
1519.851879 ,791.525559  
1517.851879 ,789.525559  
1518.067116 ,792.786703  
1516.652531 ,791.317172  
1516.241031 ,791.479800  
1513.057550 ,789.511344  
926.525031  ,509.446378  
1512.116009 ,789.466582  
1512.578216 ,788.977298  
1510.243738 ,788.551925  
1505.081197 ,785.973923  
1031.427465 ,459.722706  
1504.540476 ,786.000367  
1501.776443 ,786.046814  
893.265993  ,509.865320  
1499.010485 ,786.340247  
1500.059215 ,786.977175  
1496.748512 ,790.482701  
1498.557180 ,787.358276  
1497.735217 ,788.478850  
849.918909  ,511.922775  
1494.608393 ,787.849025  
1492.868521 ,787.414695  
1492.980721 ,789.163537  
1493.015328 ,789.074471  
1491.015328 ,787.074471  
1492.160336 ,790.192814  
1490.018355 ,790.886962  
1490.075995 ,791.376169  
1489.623019 ,791.648164  
1487.671435 ,791.754499  
1486.970234 ,791.177622  
1485.132275 ,792.989418  
1482.638889 ,792.916667  
1480.289683 ,791.944521  
1477.387470 ,793.956561  
1477.791315 ,794.467924  
1475.758323 ,794.413669  
1475.044235 ,794.283141  
1474.598071 ,795.305466  
1472.093838 ,796.280637  
1471.031320 ,796.311593  
1471.069781 ,796.804267  
1468.730965 ,796.859491  
1467.548852 ,797.378641  
1466.620825 ,799.566528  
1466.669654 ,799.368107  
1465.882353 ,799.632353  
1465.236669 ,800.544052  
1464.653662 ,802.532726  
1463.083089 ,803.231511  
1461.758617 ,805.209507  
1463.696642 ,805.116545  
1463.399216 ,805.747821  
1463.664451 ,805.633598  
1461.029636 ,806.270994  
1461.075244 ,807.316706  
1460.597012 ,806.162782  
1460.204066 ,806.798893  
1462.326992 ,806.808783  
1462.566984 ,807.849599  
1461.993779 ,807.883972  
1462.441678 ,808.430074  
1462.574937 ,808.483220  
1462.730491 ,808.973697  
1462.201326 ,811.187916  
1462.733243 ,811.286402  
1462.182764 ,811.216873  
1463.087837 ,812.480630  
1463.655939 ,814.363880  
1466.487620 ,815.433271  
1467.197092 ,815.063473  
1467.334880 ,816.197038  
1466.881774 ,816.018589  
1467.119740 ,817.354146  
1468.587352 ,816.881812  
1468.655533 ,817.210145  
1469.125202 ,817.624829  
1469.443685 ,817.471771  
1471.053464 ,817.242039  
1472.438644 ,816.787944  
1472.461786 ,817.811683  
1471.874786 ,819.126050  
1474.787113 ,819.167579  
1474.969092 ,819.661433  
1476.048488 ,820.820509  
1478.139765 ,820.782719  
760.434547  ,487.416757  
1174.802098 ,455.994783  
392.285990  ,812.575190  
1488.104454 ,820.646741  
1487.291535 ,819.997635  
1489.285801 ,819.866859  
1491.820896 ,819.476682  
1493.450704 ,819.673964  
1496.591329 ,820.770147  
1496.462918 ,820.638337  
1497.162091 ,820.480757  
1498.171068 ,821.475191  
810.327378  ,502.715508  
411.617436  ,810.119464  
1502.791697 ,821.929436  
1502.811216 ,821.974149  
1504.608487 ,821.800487  
1507.030145 ,822.087934  
1512.125387 ,821.330466  
1513.435170 ,821.840218  
1515.357775 ,820.750561  
1519.250022 ,820.659048  
1522.782961 ,820.639355  
1526.756127 ,818.982439  
1527.928163 ,819.095592  
1529.285322 ,819.196628  
1532.053607 ,817.935199  
1533.727982 ,818.266937  
1537.034828 ,818.943895  
1537.927197 ,818.247582  
1539.558380 ,818.928597  
1540.869872 ,818.787988  
1540.665261 ,818.706655  
1545.697643 ,818.890826  
1544.353678 ,818.475283  
1548.578749 ,818.458836  
1550.205031 ,817.411970  
1551.619801 ,816.954366  
1556.837867 ,816.618153  
1556.962082 ,816.019553  
1558.786531 ,816.061136  
1560.544433 ,815.653506  
1561.519074 ,815.486800  
1564.025517 ,815.678696  
1565.929284 ,815.942757  
1101.495565 ,479.123634  
1566.526317 ,815.549002  
1567.059103 ,816.485912  
1569.753445 ,817.152070  
1569.913108 ,816.985121  
1570.918554 ,817.210858  
1571.457515 ,817.989352  
1574.720836 ,817.561834  
1579.354777 ,816.245830  
1578.685719 ,816.035567  
1582.602334 ,815.982258  
1586.017488 ,815.375995  
